level,file,issue,metric,n
DIS,2024_SEE_SEN_FED_MR_NAL_DISPP.csv,value_mismatch,NUM_VOTOS_VALIDOS,153
DIS,2024_SEE_SEN_FED_MR_NAL_DISPP.csv,value_mismatch,TOTAL_VOTOS,153
SEC,2024_SEE_DIP_FED_MR_NAL_SEC.csv,value_mismatch,PT_MORENA,153
DIS,2024_SEE_SEN_FED_MR_NAL_DIS.csv,value_mismatch,NUM_VOTOS_NULOS,152
DIS,2024_SEE_SEN_FED_MR_NAL_DISCAND.csv,value_mismatch,NUM_VOTOS_NULOS,152
DIS,2024_SEE_SEN_FED_MR_NAL_DISPP.csv,value_mismatch,NUM_VOTOS_NULOS,152
DIS,2024_SEE_SEN_FED_MR_NAL_DIS.csv,value_mismatch,PRD,146
SEC,2024_SEE_SEN_FED_MR_NAL_SEC.csv,value_mismatch,PT_MORENA,144
SEC,2024_SEE_DIP_FED_MR_NAL_SEC.csv,value_mismatch,PAN_PRI,137
MUN,2024_SEE_SEN_FED_MR_NAL_MUN.csv,value_mismatch,PAN_PRI_PRD,134
DIS,2024_SEE_SEN_FED_MR_NAL_DIS.csv,value_mismatch,PAN_PRI_PRD,132
MUN,2024_SEE_DIP_FED_MR_NAL_MUN.csv,value_mismatch,MC,128
MUN,2024_SEE_DIP_FED_MR_NAL_MUN.csv,value_mismatch,MORENA,128
MUN,2024_SEE_DIP_FED_MR_NAL_MUN.csv,value_mismatch,NUM_VOTOS_VALIDOS,128
MUN,2024_SEE_DIP_FED_MR_NAL_MUN.csv,value_mismatch,PRI,128
MUN,2024_SEE_DIP_FED_MR_NAL_MUN.csv,value_mismatch,PVEM,128
MUN,2024_SEE_DIP_FED_MR_NAL_MUN.csv,value_mismatch,TOTAL_VOTOS,128
MUN,2024_SEE_DIP_FED_MR_NAL_MUN.csv,value_mismatch,NUM_VOTOS_NULOS,127
MUN,2024_SEE_DIP_FED_MR_NAL_MUN.csv,value_mismatch,PAN,127
MUN,2024_SEE_DIP_FED_MR_NAL_MUN.csv,value_mismatch,PT,127
SEC,2024_SEE_SEN_FED_MR_NAL_SEC.csv,value_mismatch,PAN_PRI,121
MUN,2024_SEE_DIP_FED_MR_NAL_MUN.csv,value_mismatch,PRD,120
DIS,2024_SEE_DIP_FED_MR_NAL_DIS.csv,value_mismatch,NUM_VOTOS_VALIDOS,118
DIS,2024_SEE_DIP_FED_MR_NAL_DIS.csv,value_mismatch,TOTAL_VOTOS,118
DIS,2024_SEE_DIP_FED_MR_NAL_DISCAND.csv,value_mismatch,NUM_VOTOS_VALIDOS,118
DIS,2024_SEE_DIP_FED_MR_NAL_DISCAND.csv,value_mismatch,TOTAL_VOTOS,118
DIS,2024_SEE_DIP_FED_MR_NAL_DISPP.csv,value_mismatch,NUM_VOTOS_VALIDOS,118
DIS,2024_SEE_DIP_FED_MR_NAL_DISPP.csv,value_mismatch,TOTAL_VOTOS,118
DIS,2024_SEE_DIP_FED_MR_NAL_DIS.csv,value_mismatch,MC,117
DIS,2024_SEE_DIP_FED_MR_NAL_DIS.csv,value_mismatch,MORENA,117
DIS,2024_SEE_DIP_FED_MR_NAL_DIS.csv,value_mismatch,PRI,117
DIS,2024_SEE_DIP_FED_MR_NAL_DIS.csv,value_mismatch,PT,117
